timestamp,open,high,low,close,volume
2025-05-06,1.13157,1.13495,1.12796,1.1321,0
2025-05-05,1.1299,1.13648,1.12968,1.13143,0
2025-05-02,1.12865,1.1381,1.12739,1.12952,0
2025-05-01,1.13253,1.13411,1.12655,1.12857,0
2025-04-30,1.13861,1.13994,1.13168,1.13253,0
2025-04-29,1.14202,1.1422,1.13698,1.13846,0
2025-04-28,1.13601,1.1425,1.1329,1.14198,0
2025-04-25,1.13849,1.13912,1.13155,1.1364,0
2025-04-24,1.13223,1.1398,1.13194,1.13857,0
2025-04-23,1.13651,1.144,1.13072,1.13236,0
2025-04-22,1.15085,1.15473,1.13613,1.13623,0
2025-04-21,1.14072,1.15733,1.139,1.15085,0
2025-04-18,1.1367,1.1398,1.13576,1.13913,0
2025-04-17,1.13965,1.14091,1.13349,1.13668,0
2025-04-16,1.12806,1.14127,1.12805,1.1397,0
2025-04-15,1.13531,1.13789,1.12638,1.12812,0
2025-04-14,1.13177,1.14246,1.12956,1.13522,0
2025-04-11,1.11918,1.14736,1.11918,1.13586,0
2025-04-10,1.09497,1.12414,1.09426,1.11888,0
2025-04-09,1.09564,1.10952,1.0913,1.09503,0
2025-04-08,1.09112,1.09918,1.08881,1.09565,0
2025-04-07,1.09148,1.105,1.09007,1.09112,0
2025-04-04,1.10509,1.11076,1.09242,1.09573,0
2025-04-03,1.08262,1.11466,1.08046,1.10505,0
2025-04-02,1.07929,1.09243,1.078,1.08264,0
2025-04-01,1.08181,1.08301,1.07779,1.07929,0
2025-03-31,1.08144,1.08494,1.07837,1.08184,0
2025-03-28,1.07971,1.08448,1.07644,1.08237,0
2025-03-27,1.07365,1.08212,1.07327,1.07974,0
2025-03-26,1.07921,1.0803,1.07342,1.07362,0
2025-03-25,1.07991,1.08301,1.07765,1.07908,0
2025-03-24,1.08168,1.08582,1.07813,1.07995,0
2025-03-21,1.08535,1.08613,1.07962,1.08121,0
2025-03-20,1.09045,1.09173,1.08143,1.08539,0
2025-03-19,1.09436,1.0946,1.08603,1.09033,0
2025-03-18,1.09214,1.09547,1.08921,1.09442,0
2025-03-17,1.088,1.09297,1.0868,1.09212,0
2025-03-14,1.08515,1.09127,1.08304,1.08765,0
2025-03-13,1.08856,1.08972,1.08222,1.0851,0
2025-03-12,1.09111,1.09314,1.08754,1.08857,0
2025-03-11,1.08345,1.09472,1.08305,1.0911,0
2025-03-10,1.08392,1.08747,1.08048,1.0834,0
2025-03-07,1.0782,1.08888,1.07768,1.083,0
2025-03-06,1.07864,1.08537,1.07655,1.07818,0
2025-03-05,1.06249,1.07968,1.06017,1.07875,0
2025-03-04,1.04849,1.06275,1.04708,1.06253,0
2025-03-03,1.04027,1.05036,1.03883,1.04857,0
2025-02-28,1.03966,1.042,1.03596,1.03747,0
2025-02-27,1.04834,1.04924,1.03965,1.03973,0
2025-02-26,1.05124,1.05289,1.04747,1.04836,0
2025-02-25,1.04664,1.05193,1.04559,1.05121,0
2025-02-24,1.04768,1.05283,1.04524,1.04671,0
2025-02-21,1.05001,1.05054,1.0449,1.04559,0
2025-02-20,1.04217,1.05034,1.04183,1.05002,0
2025-02-19,1.0445,1.04613,1.04004,1.04222,0
2025-02-18,1.04833,1.04863,1.04348,1.04459,0
2025-02-17,1.04858,1.05062,1.04667,1.0484,0
2025-02-14,1.04625,1.05141,1.04469,1.04913,0
2025-02-13,1.03818,1.0467,1.03726,1.04641,0
2025-02-12,1.03605,1.04299,1.03168,1.03824,0
2025-02-11,1.03062,1.03815,1.02917,1.03604,0
2025-02-10,1.02886,1.03365,1.02808,1.03063,0
2025-02-07,1.03821,1.04124,1.03048,1.0326,0
2025-02-06,1.04019,1.04058,1.03521,1.03828,0
2025-02-05,1.0378,1.04425,1.03693,1.04021,0
2025-02-04,1.03427,1.03876,1.0272,1.03783,0
2025-02-03,1.0232,1.03499,1.02103,1.0343,0
2025-01-31,1.03879,1.0434,1.03496,1.03602,0
2025-01-30,1.04203,1.04679,1.03859,1.03875,0
2025-01-29,1.04296,1.04436,1.03821,1.04207,0
2025-01-28,1.04912,1.04932,1.04135,1.04298,0
2025-01-27,1.0479,1.05334,1.04536,1.04916,0
2025-01-24,1.04147,1.05214,1.04112,1.04919,0
2025-01-23,1.0408,1.0438,1.03717,1.04148,0
2025-01-22,1.04285,1.04573,1.03918,1.04077,0
2025-01-21,1.04156,1.04343,1.03518,1.03876,0
2025-01-20,1.02831,1.04342,1.02659,1.04155,0
2025-01-17,1.02965,1.03306,1.0265,1.0271,0
2025-01-16,1.0288,1.03151,1.02604,1.0299,0
2025-01-15,1.03074,1.03544,1.02588,1.02861,0
2025-01-14,1.02407,1.03086,1.02382,1.03076,0
2025-01-13,1.02402,1.025,1.01772,1.02441,0
2025-01-10,1.0299,1.03118,1.02124,1.0244,0
2025-01-09,1.03177,1.03215,1.02834,1.0299,0
2025-01-08,1.03398,1.03575,1.02728,1.03178,0
